PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
8321,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
8325,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
8332,Couple Romance,affection,lip-syncing,self-shot,Hindi
8333,Dance,happy,background-song-with-lyrics,self-shot,Hindi
8338,Dance,neutral,background-song-with-lyrics,special-effects,Hindi
8345,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8352,Couple Romance,happy,lip-syncing,self-shot,Hindi
8353,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8356,Dance,affection,background-song-with-lyrics,self-shot,Hindi
8358,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
8363,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
8376,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
8380,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8381,Pranks,happy,self-spoken-monologues,self-shot,Hindi
8385,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8386,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8391,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8404,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
8405,Couple Romance,happy,lip-syncing,self-shot,Hindi
8408,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8411,Pranks,happy,noise,videos-with-text,Hindi
8423,Dance,happy,background-song-with-lyrics,self-shot,Hindi
8438,Dance,happy,lip-syncing,special-effects,Hindi
8440,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8445,Pranks,happy,self-spoken-monologues,special-effects,Hindi
8447,Couple Romance,happy,lip-syncing,self-shot,Hindi
8450,Couple Romance,affection,lip-syncing,special-effects,Hindi
8463,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
8480,Couple Romance,happy,lip-syncing,self-shot,Hindi
8483,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8490,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
8492,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8500,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8505,Heartbreak Romance,sad,lip-syncing,videos-with-text,Hindi
8509,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
8518,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
8529,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8543,Pranks,happy,self-spoken-monologues,special-effects,Hindi
8551,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Hindi
8560,Couple Romance,affection,lip-syncing,special-effects,Hindi
8579,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
8587,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
8588,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
8592,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
8599,Pranks,happy,self-spoken-monologues,special-effects,Hindi
8604,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
8608,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
8611,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
8614,Pranks,happy,self-spoken-monologues,special-effects,Hindi
8622,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8623,Dance,happy,lip-syncing,self-shot,Hindi
8631,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
8635,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8641,Couple Romance,happy,lip-syncing,self-shot,Hindi
8644,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
8664,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
8671,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
8677,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8684,Couple Romance,affection,lip-syncing,special-effects,Hindi
8685,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
8693,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8696,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
8698,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Hindi
8700,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8707,Couple Romance,affection,lip-syncing,self-shot,Hindi
8710,Pranks,happy,self-spoken-monologues,self-shot,Hindi
8717,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8723,Couple Romance,neutral,background-song-with-lyrics,self-shot,Hindi
8729,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8731,Pranks,happy,lip-syncing,self-shot,Hindi
8734,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
8735,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8739,Dance,affection,lip-syncing,self-shot,Hindi
8742,Heartbreak Romance,sad,self-sung-song,self-shot,Hindi
8756,Couple Romance,happy,lip-syncing,self-shot,Hindi
8757,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
8761,Couple Romance,sad,background-song-with-lyrics,animation,Hindi
8778,Dance,affection,lip-syncing,self-shot,Hindi
8782,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
8784,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8786,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
8799,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
8806,Pranks,happy,self-sung-song,self-shot,Hindi
8811,Couple Romance,happy,lip-syncing,self-shot,Hindi
8831,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
8833,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
8838,Couple Romance,sad,lip-syncing,self-shot,Hindi
8840,Dance,happy,lip-syncing,self-shot,Hindi
8852,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8862,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
8868,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
8877,Dance,happy,background-song-with-lyrics,self-shot,Hindi
8882,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8884,Couple Romance,affection,lip-syncing,self-shot,Hindi
8890,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
8891,Pranks,happy,self-spoken-monologues,self-shot,Hindi
8898,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
8903,Couple Romance,happy,background-song-with-lyrics,videos-with-text,Hindi
8913,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
8926,Pranks,surprise,background-song-with-lyrics,self-shot,Hindi
8928,Dance,neutral,lip-syncing,self-shot,Hindi
8934,Couple Romance,affection,lip-syncing,self-shot,Hindi
8941,Couple Romance,happy,lip-syncing,self-shot,Hindi
8944,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
8945,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
8951,Pranks,happy,lip-syncing,special-effects,Hindi
8960,Memes,happy,self-spoken-dialogues,videos-with-text,Hindi
8973,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
8981,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
9003,Couple Romance,affection,lip-syncing,self-shot,Hindi
9008,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
9010,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9015,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9017,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9022,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9023,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9028,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9037,Couple Romance,happy,lip-syncing,self-shot,Hindi
9043,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
9049,Dance,affection,lip-syncing,self-shot,Hindi
9061,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9062,Dance,affection,lip-syncing,self-shot,Hindi
9077,Memes,happy,self-spoken-dialogues,special-effects,Hindi
9082,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9083,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9085,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
9092,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9097,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9102,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9112,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
9114,Pranks,happy,self-spoken-monologues,self-shot,Hindi
9115,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
9125,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9130,Dance,happy,lip-syncing,self-shot,Hindi
9152,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9153,Dance,happy,lip-syncing,self-shot,Hindi
9160,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9161,Heartbreak Romance,sad,self-spoken-monologues,videos-with-text,Hindi
9166,Dance,affection,lip-syncing,special-effects,Hindi
9170,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
9172,Couple Romance,affection,lip-syncing,self-shot,Hindi
9173,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9175,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
9179,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9184,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9187,Dance,happy,self-sung-song,special-effects,Hindi
9198,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9200,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Hindi
9201,Memes,happy,self-spoken-dialogues,animation,Hindi
9210,Dance,affection,lip-syncing,self-shot,Hindi
9211,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9229,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9230,Couple Romance,affection,lip-syncing,self-shot,Hindi
9241,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9243,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9247,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9249,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9254,Couple Romance,affection,lip-syncing,self-shot,Hindi
9292,Couple Romance,happy,lip-syncing,self-shot,Hindi
9305,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9312,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
9316,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
9319,Heartbreak Romance,sad,self-spoken-dialogues,self-shot,Hindi
9320,Couple Romance,happy,self-spoken-dialogues,videos-with-text,Hindi
9323,Dance,affection,lip-syncing,self-shot,Hindi
9325,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
9336,Pranks,happy,self-spoken-monologues,self-shot,Hindi
9351,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9354,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9356,Memes,happy,background-song-with-lyrics,animation,Hindi
9372,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9375,Memes,happy,background-song-with-lyrics,videos-with-text,Hindi
9376,Pranks,happy,self-spoken-monologues,self-shot,Hindi
9378,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9382,Couple Romance,affection,instrumental,self-shot,Hindi
9385,Dance,neutral,background-song-with-lyrics,self-shot,Hindi
9391,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9392,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
9399,Dance,happy,lip-syncing,self-shot,Hindi
9400,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9403,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
9410,Dance,affection,lip-syncing,self-shot,Hindi
9422,Dance,affection,lip-syncing,self-shot,Hindi
9424,Heartbreak Romance,happy,self-spoken-monologues,self-shot,Hindi
9425,Dance,happy,lip-syncing,self-shot,Hindi
9430,Couple Romance,happy,lip-syncing,self-shot,Hindi
9435,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9460,Heartbreak Romance,sad,self-spoken-monologues,videos-with-text,Hindi
9466,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9471,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9489,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9491,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9501,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9508,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9509,Memes,happy,self-spoken-dialogues,videos-with-text,Hindi
9511,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
9513,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9516,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9524,Pranks,happy,instrumental,videos-with-text,Hindi
9533,Couple Romance,affection,lip-syncing,self-shot,Hindi
9546,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9552,Couple Romance,affection,lip-syncing,self-shot,Hindi
9553,Couple Romance,happy,lip-syncing,self-shot,Hindi
9555,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
9582,Dance,happy,lip-syncing,self-shot,Hindi
9585,Couple Romance,happy,lip-syncing,self-shot,Hindi
9594,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
9598,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9603,Couple Romance,affection,lip-syncing,self-shot,Hindi
9605,Pranks,happy,noise,self-shot,Hindi
9613,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9614,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9620,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
9626,Couple Romance,neutral,self-spoken-monologues,special-effects,Hindi
9630,Couple Romance,affection,lip-syncing,self-shot,Hindi
9634,Couple Romance,happy,background-song-with-lyrics,videos-with-text,Hindi
9636,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9642,Couple Romance,affection,self-spoken-dialogues,self-shot,Hindi
9646,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
9649,Pranks,happy,self-spoken-monologues,special-effects,Hindi
9652,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9660,Couple Romance,affection,lip-syncing,self-shot,Hindi
9661,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9679,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9692,Couple Romance,affection,lip-syncing,self-shot,Hindi
9704,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
9707,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Hindi
9710,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9711,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9726,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
9733,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9734,Memes,happy,self-spoken-dialogues,animation,Hindi
9737,Pranks,happy,self-spoken-monologues,self-shot,Hindi
9743,Couple Romance,affection,lip-syncing,self-shot,Hindi
9745,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9754,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9763,Dance,happy,lip-syncing,self-shot,Hindi
9773,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9775,Couple Romance,happy,lip-syncing,self-shot,Hindi
9777,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9780,Couple Romance,affection,lip-syncing,self-shot,Hindi
9784,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
9785,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9786,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9793,Dance,happy,lip-syncing,self-shot,Hindi
9811,Couple Romance,affection,self-spoken-dialogues,special-effects,Hindi
9812,Couple Romance,affection,lip-syncing,self-shot,Hindi
9819,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9820,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
9821,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9830,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
9834,Dance,happy,lip-syncing,self-shot,Hindi
9838,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9841,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9851,Couple Romance,affection,lip-syncing,self-shot,Hindi
9863,Dance,affection,lip-syncing,self-shot,Hindi
9867,Dance,affection,lip-syncing,self-shot,Hindi
9873,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9876,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9884,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9889,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
9893,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
9894,Dance,affection,lip-syncing,special-effects,Hindi
9897,Pranks,happy,self-spoken-monologues,special-effects,Hindi
9903,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
9909,Dance,happy,lip-syncing,videos-with-text,Hindi
9920,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9923,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Hindi
9924,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
9928,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
9930,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
9939,Memes,happy,self-spoken-dialogues,special-effects,Hindi
9942,Heartbreak Romance,happy,background-song-with-lyrics,self-shot,Hindi
9944,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
9945,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
9949,Dance,affection,background-song-with-lyrics,self-shot,Hindi
9955,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
9963,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
9964,Heartbreak Romance,sad,lip-syncing,videos-with-text,Hindi
9968,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
9971,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9972,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
9973,Dance,affection,background-song-with-lyrics,self-shot,Hindi
9974,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
9975,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
9983,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Hindi
9985,Pranks,happy,self-spoken-monologues,special-effects,Hindi
9990,Couple Romance,happy,lip-syncing,self-shot,Hindi
10000,Couple Romance,happy,self-spoken-monologues,self-shot,Hindi
10004,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
10005,Dance,happy,background-song-with-lyrics,self-shot,Hindi
10009,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
10016,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
10019,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10039,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10044,Heartbreak Romance,neutral,background-song-with-lyrics,special-effects,Hindi
10048,Memes,happy,self-spoken-dialogues,animation,Hindi
10050,Couple Romance,happy,lip-syncing,self-shot,Hindi
10053,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Hindi
10054,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10058,Dance,happy,lip-syncing,self-shot,Hindi
10069,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10071,Pranks,happy,self-spoken-monologues,special-effects,Hindi
10072,Dance,happy,lip-syncing,self-shot,Hindi
10073,Couple Romance,affection,lip-syncing,self-shot,Hindi
10074,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10084,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10085,Pranks,fear,noise,videos-with-text,Hindi
10094,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10095,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
10096,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10097,Couple Romance,happy,self-spoken-monologues,self-shot,Hindi
10098,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
10106,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10113,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10117,Couple Romance,happy,lip-syncing,self-shot,Hindi
10119,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10128,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10136,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
10137,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10138,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10140,Pranks,happy,self-spoken-monologues,self-shot,Hindi
10149,Dance,affection,lip-syncing,self-shot,Hindi
10151,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
10152,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10158,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
10168,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10176,Couple Romance,neutral,background-song-with-lyrics,special-effects,Hindi
10188,Couple Romance,happy,background-song-with-lyrics,videos-with-text,Hindi
10196,Dance,happy,lip-syncing,self-shot,Hindi
10200,Couple Romance,affection,lip-syncing,self-shot,Hindi
10203,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
10205,Couple Romance,affection,self-spoken-dialogues,special-effects,Hindi
10206,Pranks,surprise,background-song-with-lyrics,self-shot,Hindi
10219,Dance,affection,lip-syncing,self-shot,Hindi
10223,Pranks,happy,self-spoken-monologues,special-effects,Hindi
10227,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10229,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10234,Couple Romance,happy,lip-syncing,self-shot,Hindi
10242,Dance,happy,lip-syncing,self-shot,Hindi
10249,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10254,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
10255,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10268,Dance,happy,lip-syncing,special-effects,Hindi
10283,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10298,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
10303,Couple Romance,affection,lip-syncing,special-effects,Hindi
10304,Couple Romance,affection,lip-syncing,special-effects,Hindi
10310,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
10314,Couple Romance,affection,self-spoken-dialogues,self-shot,Hindi
10322,Dance,affection,lip-syncing,self-shot,Hindi
10324,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10325,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
10327,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
10332,Couple Romance,happy,lip-syncing,self-shot,Hindi
10347,Pranks,happy,self-spoken-monologues,special-effects,Hindi
10350,Pranks,happy,background-song-with-lyrics,special-effects,Hindi
10353,Pranks,happy,self-spoken-monologues,special-effects,Hindi
10354,Dance,happy,background-song-with-lyrics,self-shot,Hindi
10369,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10370,Pranks,happy,self-spoken-monologues,special-effects,Hindi
10371,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10375,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10377,Dance,affection,lip-syncing,self-shot,Hindi
10379,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10384,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10390,Couple Romance,affection,lip-syncing,self-shot,Hindi
10399,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
10401,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10409,Dance,affection,lip-syncing,self-shot,Hindi
10418,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10420,Dance,affection,lip-syncing,self-shot,Hindi
10421,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10428,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
10436,Couple Romance,affection,lip-syncing,special-effects,Hindi
10437,Couple Romance,affection,lip-syncing,self-shot,Hindi
10442,Couple Romance,neutral,lip-syncing,special-effects,Hindi
10451,Heartbreak Romance,anger,self-spoken-monologues,self-shot,Hindi
10452,Couple Romance,happy,lip-syncing,special-effects,Hindi
10457,Dance,happy,lip-syncing,special-effects,Hindi
10458,Dance,happy,background-song-with-lyrics,videos-with-text,Hindi
10460,Dance,happy,lip-syncing,self-shot,Hindi
10461,Memes,happy,self-spoken-dialogues,videos-with-text,Hindi
10469,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10481,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10487,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10488,Couple Romance,affection,lip-syncing,self-shot,Hindi
10491,Dance,affection,lip-syncing,self-shot,Hindi
10492,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10501,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10504,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10505,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10508,Couple Romance,neutral,background-song-with-lyrics,self-shot,Hindi
10509,Dance,happy,lip-syncing,self-shot,Hindi
10510,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10516,Dance,happy,lip-syncing,self-shot,Hindi
10517,Couple Romance,happy,lip-syncing,videos-with-text,Hindi
10523,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10525,Couple Romance,affection,lip-syncing,self-shot,Hindi
10531,Couple Romance,confidence,lip-syncing,self-shot,Hindi
10540,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
10544,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
10546,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10559,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
10561,Dance,affection,lip-syncing,self-shot,Hindi
10569,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
10572,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
10577,Couple Romance,affection,lip-syncing,self-shot,Hindi
10578,Couple Romance,neutral,background-song-with-lyrics,self-shot,Hindi
10582,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10583,Couple Romance,affection,lip-syncing,self-shot,Hindi
10584,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10588,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10591,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10594,Couple Romance,affection,lip-syncing,self-shot,Hindi
10595,Memes,happy,background-song-with-lyrics,videos-with-text,Hindi
10601,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10609,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
10610,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10621,Memes,happy,self-sung-song,videos-with-text,Hindi
10625,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10628,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
10650,Memes,happy,lip-syncing,videos-with-text,Hindi
10656,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
10658,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
10664,Couple Romance,affection,lip-syncing,self-shot,Hindi
10665,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10671,Memes,happy,background-song-with-lyrics,videos-with-text,Hindi
10680,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
10688,Dance,happy,lip-syncing,self-shot,Hindi
10697,Heartbreak Romance,sad,self-spoken-monologues,videos-with-text,Hindi
10724,Dance,sad,lip-syncing,videos-with-text,Hindi
10728,Dance,happy,lip-syncing,self-shot,Hindi
10731,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
10732,Dance,happy,lip-syncing,self-shot,Hindi
